"","BelstromD_2017","RiveraV_2025","TongY_2019","WangB_2020","LindheimL_2016","WolfA_2017","KumpitschC_2020","NagataN_2022","RussoE_2018","TakahashiY_2019","JulianM_2017","YuF_2020","LundmarkA_2019","ZhuC_2018","LiuY_2019","TianN_2017","RafiqulI_2022","ZellerG_2014B","JiangQ_2019","ZhengX_2017","ZiganshinaE_2020","WangK_2016","LeeW_2017","MoskovitzM_2021","LeeY_2025","ArmstrongA_2023b","MakinenA_2023","BelstromD_2021","HuangC_2022","WangX_2020","AbdelbaryM_2022","LinM_2020","WangQ_2019","ArmstrongA_2023a","WangT_2018","DebeliusJ_2020","GuptaA_2022","FanX_2018b"
"Lactobacillus_delbrueckii",-1,-1,-1,-1,-1,1,-1,-1,1,1,3,-1,-1,-2,1,-1,-1,1,-1,-1,NA,-1,-3,NA,-1,-1,-1,NA,-1,1,-1,-1,-1,-1,1,-1,NA,1
"Lactobacillus_fermentum",-1,1,-3,-1,-1,-3,-3,-1,-1,1,-1,-1,-3,-2,1,-1,-3,-2,-2,-1,-1,1,1,-1,-3,-1,-1,1,1,-1,-2,-1,-1,1,1,-3,NA,-3
"Neisseria_elongata",-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,3,-1,1,-1,-1,3,-1,1,1,1,1,-1,-1,1,2,-1,1,1,-1,1,-1,-1,-1,3,3,NA,-1
"Oribacterium_sinus",-1,1,-1,-3,-1,1,-1,-1,1,-1,1,-1,2,-1,1,-1,3,1,-1,1,-1,1,3,1,-1,-1,3,1,-3,-1,1,3,-1,-3,-1,1,NA,1
"Solobacterium_moorei",-1,1,-1,-2,1,-1,2,-3,1,1,1,3,-2,-1,-1,1,3,3,-3,-1,-1,-1,1,-1,-1,1,1,1,-3,-1,1,2,-2,-1,1,2,NA,2
"Eggerthia_catenaformis",-1,3,-1,1,NA,-1,1,1,1,-1,-2,NA,-3,NA,-1,1,3,NA,1,1,-1,1,-3,-1,-3,-1,-1,1,-1,1,-1,1,1,1,3,3,NA,1
"Clostridium_ultunense",NA,-1,1,-1,NA,1,-1,NA,-1,1,-1,2,1,NA,-1,NA,-1,NA,-1,NA,NA,3,-1,NA,-3,NA,-1,NA,1,-1,NA,-1,-1,-1,-1,3,NA,-1
"Granulicatella_elegans",1,-2,-1,1,-1,-1,-3,-1,-1,3,-1,3,-1,-1,-1,-1,3,-3,-3,3,1,1,-3,-1,1,1,-1,-1,1,-3,1,1,-1,-3,-2,-1,NA,1
"Neisseria_subflava",-1,1,3,1,-1,-1,1,-1,1,-3,NA,NA,1,-1,1,-1,3,3,1,-1,-1,-1,3,NA,-1,1,NA,3,3,1,3,-1,-1,-1,-1,3,NA,1
"Campylobacter_concisus",1,1,-3,2,-1,-1,1,-3,2,1,-1,-1,3,-1,3,1,3,3,-1,1,1,1,3,3,1,1,3,3,3,1,-1,1,2,-2,-3,3,NA,1
"Prevotella_melaninogenica",-1,-1,1,-1,1,1,2,-1,1,-1,2,-2,1,-1,-2,-1,-1,3,-1,-1,1,-1,3,3,1,1,2,1,1,1,-1,-1,1,-1,-1,-1,NA,-1
"Megasphaera_micronuciformis",-1,1,-3,1,-1,-1,-2,-3,-1,1,-1,-1,3,1,-1,1,1,-1,-2,1,-1,1,3,1,1,-1,1,-1,-1,-1,-1,-1,-1,-3,1,3,NA,-1
"Cryptobacterium_curtum",-1,2,-3,-1,-1,-1,-1,NA,-1,-1,-1,2,-1,1,-2,-1,-2,-1,-1,-1,1,2,-2,-1,-3,1,-1,-1,-1,-1,1,1,-3,1,-1,3,NA,-1
"Prevotella_timonensis",NA,1,-1,NA,-1,-1,-1,NA,1,3,-1,NA,-1,-1,1,-1,NA,NA,1,-1,1,NA,-1,NA,-1,-2,1,1,1,-1,-1,-1,NA,-3,1,3,NA,1
"Atopobium_vaginae",NA,-3,-1,-1,-1,-1,-1,NA,-1,1,3,3,-1,NA,NA,1,-1,NA,-1,NA,-1,-2,-1,NA,-1,1,1,-1,1,-1,-1,-1,1,1,1,3,NA,-1
"Sediminibacterium_salmoneum",NA,NA,NA,1,NA,-1,-1,NA,NA,NA,NA,1,-1,NA,NA,NA,-1,NA,NA,NA,NA,-1,1,NA,-1,NA,-1,NA,NA,-1,NA,-1,NA,NA,-3,-1,NA,NA
"Abiotrophia_defectiva",-1,-2,-1,-1,-1,-2,-3,1,-1,2,-1,3,-2,3,-2,-1,-1,3,-3,-1,1,-1,-1,-1,1,-1,-2,-1,-1,-1,2,-1,-1,-3,1,-3,NA,-1
"Gemella_morbillorum",1,-1,-1,-1,-1,1,3,-1,-1,1,-1,2,-1,2,-3,1,3,-2,-1,-1,1,-1,1,-1,-3,-1,1,3,1,-3,1,2,-1,-1,-1,-1,NA,-1
"Lactococcus_lactis",-1,1,NA,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,-1,NA,1,3,1,-1,1,-1,-1,-1,3,NA,1,-1,-1,-1,-1,1,3,-3,NA,-1
"Haemophilus_sputorum",1,NA,3,NA,-1,1,2,1,3,1,NA,NA,1,-3,1,3,3,-1,1,3,-1,-1,NA,NA,1,1,NA,1,1,1,3,3,1,1,3,3,NA,1
"Veillonella_atypica",-1,-1,-3,1,-1,-3,1,-2,-1,1,1,NA,3,1,-1,-1,-1,-1,-3,-1,-1,1,1,NA,-1,1,-1,1,-1,-1,-3,-3,1,1,1,1,NA,-1
"Intestinimonas_butyriciproducens",NA,2,1,2,-1,-2,-1,NA,1,1,2,-3,NA,-1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,1,1,1,-1,1,NA,1,1,NA,NA
"Actinomyces_timonensis",NA,1,1,-1,2,-3,-3,NA,3,1,3,-1,1,1,-2,-1,-1,NA,-1,1,1,-3,-1,-1,-3,NA,-1,NA,-1,-1,1,-1,-1,-1,1,-3,NA,-1
"Campylobacter_gracilis",-1,3,-1,-1,-1,-1,1,-2,3,1,-1,1,-1,-1,1,1,3,1,1,1,-1,-1,1,-1,-1,-3,-1,-1,2,-1,1,-1,1,-1,-1,3,NA,1
"Streptococcus_australis",1,1,1,NA,-1,-1,3,3,-2,-1,-1,1,1,1,1,1,-1,3,-1,1,1,-1,1,NA,1,2,1,3,-1,-1,1,1,-1,-1,-1,-1,NA,1
"Phocaeicola_abscessus",NA,-1,-1,1,-1,-1,-1,NA,-1,-1,-1,-1,-3,1,-2,-1,-1,NA,-1,1,1,-2,-3,NA,-3,NA,-1,NA,-1,-3,-1,-1,-1,-1,-1,-3,NA,-1
"Acinetobacter_calcoaceticus",NA,NA,1,NA,NA,-1,-1,NA,NA,-1,-1,-1,-1,1,NA,NA,-1,NA,-1,-1,NA,-1,1,NA,1,NA,NA,NA,NA,-1,1,-1,NA,-1,NA,-2,NA,NA
"Campylobacter_rectus",-2,1,-1,3,-1,-3,-1,-1,3,1,-1,1,-1,1,1,-1,2,-2,-1,3,1,1,1,-1,-1,-1,-1,-3,2,-1,3,1,-1,1,-1,3,NA,1
"Corynebacterium_kroppenstedtii",NA,1,1,1,1,-1,-1,-1,-1,-1,NA,-1,-1,NA,NA,NA,-1,NA,1,NA,NA,NA,-3,NA,-1,NA,-1,NA,1,-1,-1,-1,-1,-1,NA,-3,NA,1
"Streptococcus_constellatus",NA,1,1,-1,-1,-1,-1,NA,1,1,2,1,-2,1,-2,-1,-1,NA,-1,-1,1,-3,-3,-1,-3,NA,-3,NA,1,-1,-1,-1,-1,-2,-1,-1,NA,-1
"Prevotella_nigrescens",-1,3,-3,3,1,-1,-3,-3,1,3,1,-1,-1,1,-2,-1,3,1,-1,1,1,-1,-3,-2,-1,-1,-2,1,3,-1,-1,1,3,3,-1,-1,NA,1
"Corynebacterium_matruchotii",-1,1,-3,-1,1,1,2,-1,1,-2,1,3,1,1,-2,1,3,-1,1,1,-2,1,3,-1,1,-1,-3,1,1,-1,1,-1,-1,-1,1,3,NA,2
"Eikenella_corrodens",-1,-1,-1,1,-1,-1,-1,-2,1,2,-1,2,-3,-1,1,-1,3,-3,-3,1,-1,1,-3,3,-1,1,-1,-1,-1,-3,1,-1,-1,1,1,-2,NA,-1
"Parvimonas_micra",-3,-3,2,-1,-1,-1,3,-1,1,2,1,3,-1,1,-1,2,3,-1,1,1,1,-1,-3,1,1,1,-1,-3,1,-1,1,1,-1,2,1,-1,NA,-1
"Streptococcus_pyogenes",NA,NA,NA,NA,NA,NA,1,NA,1,-1,NA,NA,-1,1,-1,NA,1,NA,-1,NA,NA,1,1,NA,-1,NA,1,NA,-1,NA,1,-1,NA,NA,-1,-1,NA,1
"Scardovia_wiggsiae",-1,3,-3,-3,-1,-1,-1,1,1,1,-1,3,-2,-3,-1,-1,-1,1,-1,-1,1,-1,-3,-2,-3,-3,-1,-1,-1,-1,-1,1,-1,-3,-1,-3,NA,-1
"Fusobacterium_nucleatum",-3,-1,1,1,-1,-1,-1,-3,1,1,1,3,-1,1,-3,1,3,-1,-2,1,-1,1,-3,1,-3,-1,-3,-1,3,-1,-1,1,3,3,-1,3,NA,1
"Prevotella_saccharolytica",1,1,-1,-1,1,1,-1,-3,1,1,3,3,-1,1,-3,-1,3,-3,-1,1,1,1,-1,-3,-1,-1,-1,-1,1,-3,1,-1,1,-1,1,3,NA,1
"Catonella_morbi",-2,-1,-1,-1,1,-1,3,-1,1,1,-1,-1,2,-1,-1,-1,3,1,1,1,1,1,-1,1,1,1,-1,-1,1,-3,3,3,1,-1,-1,3,NA,-1
"Moraxella_boevrei",NA,-1,1,1,1,NA,NA,NA,2,1,-1,-1,1,NA,1,-1,1,NA,1,NA,1,-1,3,-1,NA,NA,1,NA,-1,-1,NA,-1,1,-3,1,-3,NA,1
"Micrococcus_luteus",NA,NA,1,1,NA,1,-1,NA,-2,1,1,-1,-1,1,-1,NA,-1,-1,NA,NA,1,1,1,-1,1,NA,1,NA,-1,1,-1,-1,1,1,NA,-1,NA,1
"Morococcus_cerebrosus",-1,NA,2,NA,NA,1,-1,1,-1,1,NA,NA,-3,1,-1,-1,3,3,-1,NA,3,NA,-1,NA,-1,-1,NA,2,2,-1,1,1,-2,1,-1,2,NA,-1
"Actinomyces_massiliensis",-1,1,1,1,-1,1,3,3,2,-3,3,3,1,1,-1,1,3,3,1,1,3,1,3,-1,-1,2,3,1,2,1,-1,-1,-1,2,3,3,NA,1
"Streptococcus_salivarius",-1,-1,-1,NA,-1,1,2,3,1,-3,-1,NA,2,-1,1,1,1,3,-1,-1,1,NA,1,NA,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,NA,1
"Elizabethkingia_meningoseptica",NA,NA,1,NA,-1,NA,-3,NA,NA,-1,NA,NA,-1,-1,NA,-1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,-1,NA,1,NA,-1,NA,-1
"Prevotella_buccae",1,2,-1,3,-1,-1,-1,-1,3,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-3,-1,-3,-1,-1,1,-1,1,-1,-1,-1,-1,3,-3,NA,1
"Fusobacterium_russii",NA,-1,1,1,NA,1,1,NA,1,1,-1,-1,-1,1,-1,1,3,NA,NA,NA,-1,-2,1,-1,-1,NA,1,NA,1,1,-1,-1,1,-1,-1,3,NA,-1
"Neisseria_meningitidis",NA,-1,3,1,-1,-1,-1,NA,1,1,-1,1,-1,1,1,-1,3,NA,1,1,-1,1,-1,-1,1,NA,-1,NA,-1,-1,1,1,1,3,1,3,NA,-1
"Alloscardovia_omnicolens",-3,1,-3,1,2,-3,-1,1,1,2,-1,-1,1,NA,-1,3,1,-3,1,NA,-3,-1,1,-1,-2,1,-1,-1,-1,-1,-1,-3,-1,1,-1,-1,NA,-1
"Staphylococcus_epidermidis",NA,-1,-1,1,-1,-1,-1,NA,1,-1,NA,NA,-1,1,-1,NA,-2,-1,NA,1,NA,1,-1,-1,1,1,-1,NA,1,1,2,-1,-1,-1,1,-1,NA,-1
"Neisseria_lactamica",NA,NA,NA,NA,1,1,-1,NA,2,-1,-1,NA,-1,-1,-1,NA,2,NA,NA,NA,1,-1,1,NA,NA,-1,NA,NA,1,1,NA,1,1,NA,-1,2,NA,NA
"Mannheimia_haemolytica",NA,NA,NA,NA,NA,1,1,NA,-2,-1,2,NA,1,-1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,-1,NA,NA,2,-1,NA,NA
"Pseudoramibacter_alactolyticus",NA,-1,-1,1,-1,-2,-1,-1,1,1,2,2,-3,1,2,-1,-1,NA,-1,1,-1,-1,-1,NA,-3,-2,2,1,1,-1,1,-2,-1,1,-1,-1,NA,1
"Mogibacterium_timidum",-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-3,-1,3,-2,1,NA,1,-1,-3,-1,-3,-1,-1,-1,2,-1,-1,3,-1,3,-1,-1,NA,-1
"Streptococcus_mutans",-1,1,-1,-2,1,-1,-1,1,-2,-1,-1,3,1,3,1,-1,-1,-1,-3,-1,1,1,3,-3,-2,-1,3,-1,-1,-2,-1,-1,-1,-1,1,-1,NA,-1
"Streptococcus_thermophilus",NA,1,-2,-3,-2,-1,3,-1,1,-2,-1,3,3,-1,1,1,-1,-1,-1,1,1,1,3,-1,1,-1,1,1,-1,-1,-1,-1,-1,-2,1,-1,NA,1
"Propionibacterium_propionicum",-1,-1,-1,-1,-1,1,-1,-1,1,3,3,NA,-3,-1,-3,1,-1,3,1,-1,1,NA,3,-1,1,-1,-1,1,1,1,1,-1,-1,-1,3,3,NA,1
"Porphyromonas_asaccharolytica",NA,NA,NA,NA,1,-1,-1,NA,-1,1,-1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,-1,NA,-1,NA,-1,NA,1
"Treponema_pectinovorum",NA,NA,1,1,-1,-1,-1,NA,1,1,NA,NA,-1,NA,NA,-1,1,NA,-1,-1,3,-1,-3,NA,-2,NA,-2,NA,2,-1,-1,-1,1,-1,-1,3,NA,NA
"Neisseria_flavescens",-2,-1,3,1,1,2,3,-1,1,-1,-1,3,-2,-1,3,-1,3,3,-1,-1,-1,1,1,-1,1,-1,1,2,2,-1,2,1,1,-3,-1,3,NA,-1
"Streptococcus_anginosus",NA,-1,-3,-1,-1,-3,-1,NA,-1,1,-1,1,-1,-1,-2,-1,-1,NA,-3,3,-1,-1,-3,1,-3,NA,-3,NA,-1,-1,-2,-1,-1,-1,1,-3,NA,-1
"Leptotrichia_trevisanii",NA,1,1,-1,-1,1,-3,NA,1,1,2,-1,-1,-1,-3,-1,3,NA,-1,-1,1,-1,-3,-1,-1,NA,-1,NA,1,-1,1,3,-1,-1,3,3,NA,-1
"Treponema_putidum",NA,NA,-1,-1,-1,-3,-1,NA,-1,-1,1,1,-3,NA,-1,1,1,NA,-1,NA,NA,-3,-1,NA,-3,-1,NA,NA,1,1,NA,-1,1,3,-1,3,NA,NA
"Leptotrichia_wadei",-1,1,-3,-3,1,-1,3,-1,-1,-2,-1,1,1,1,-2,-1,3,1,-3,-1,-1,-1,1,-1,1,1,3,1,-1,1,1,-1,-1,-1,-3,3,NA,3
"Streptococcus_mitis",1,-1,-1,-1,1,-1,-1,-1,-1,-3,-1,1,-1,-1,3,1,-1,-2,-2,2,1,1,1,1,2,-1,-3,1,-1,-1,2,1,-1,-1,-2,-3,NA,1
"Dialister_micraerophilus",-1,1,1,NA,-1,-1,-1,-2,-1,-1,-1,NA,-1,NA,NA,1,2,3,-1,NA,-1,-1,-1,NA,-1,-1,1,-1,-1,-1,-1,1,1,-3,-1,-1,NA,-1
"Prevotella_oris",-1,2,-1,1,-2,-1,-1,-2,1,2,-1,1,-1,1,-3,-1,1,-3,-1,-1,1,-1,-3,1,-1,-3,-2,-1,3,-1,-1,-1,1,-1,-1,-1,NA,1
"Chryseobacterium_piscicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,-1,-1,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,-1,NA,1,NA,NA,1,-1,NA,1
"Porphyromonas_catoniae",-1,-3,3,-1,-1,2,2,-2,-1,-1,1,1,-1,1,-2,-1,3,-1,1,-1,3,-1,1,-1,1,1,-1,1,1,1,3,-1,3,-1,1,-1,NA,-1
"Fusobacterium_canifelinum",NA,NA,NA,NA,1,NA,NA,NA,-1,1,NA,NA,1,1,-3,-1,NA,NA,-3,2,-1,NA,NA,NA,1,NA,NA,NA,2,-1,NA,-1,1,NA,-1,-1,NA,1
"Aggregatibacter_aphrophilus",-1,-1,-1,-1,-1,1,1,2,1,-1,-2,1,-1,1,-2,1,3,-1,1,1,-1,1,1,-3,1,-3,-1,1,3,1,1,1,1,3,-1,3,NA,1
"Lachnoanaerobaculum_umeaense",1,-1,-1,-3,1,1,3,-1,3,1,1,1,-1,3,2,-1,3,1,1,1,1,-1,2,-1,1,1,1,3,-2,1,1,1,1,1,-2,3,NA,3
"Eubacterium_infirmum",-1,-1,-1,-2,-1,-1,3,-1,1,1,3,2,-1,-1,1,-1,3,3,1,-1,-1,-1,-1,-1,-3,-1,-1,-1,-1,-1,-1,1,-1,-1,-3,3,NA,1
"Neisseria_mucosa",-1,-1,1,3,1,2,3,1,1,1,-1,-3,-1,-1,1,-1,3,1,1,NA,-1,1,1,1,1,1,3,2,3,1,1,-1,-1,1,-1,-1,NA,-1
"Neisseria_dentiae",NA,-1,-1,1,NA,2,3,NA,1,-1,-1,1,1,-1,1,1,3,NA,-1,NA,1,-1,2,-3,-1,NA,2,NA,-1,1,-1,1,1,-1,-1,3,NA,-1
"Haemophilus_pittmaniae",-1,NA,3,NA,-1,NA,3,1,-1,-1,NA,NA,1,1,1,1,3,3,3,1,-1,-1,-1,NA,1,-3,NA,1,3,1,3,1,-1,1,3,3,NA,-3
"Prevotella_micans",-1,2,-2,-1,-1,-1,1,-3,3,-1,3,1,-1,-1,-3,-1,3,-1,-1,1,-1,-2,-2,1,-1,-1,-1,-1,1,-1,2,1,1,-1,-1,3,NA,1
"Treponema_succinifaciens",NA,1,-1,1,NA,-1,-1,NA,1,1,-1,-3,1,NA,-3,1,3,NA,1,NA,-1,1,-1,NA,-3,NA,1,NA,3,-1,1,1,-3,1,1,3,NA,NA
"Kingella_denitrificans",-1,NA,1,1,-1,-1,NA,1,3,1,2,NA,-1,-1,-1,-1,3,3,-2,1,-1,-1,-1,NA,-1,-1,1,1,1,-1,1,-2,-1,2,-1,3,NA,1
"Veillonella_denticariosi",-1,NA,-1,NA,1,NA,NA,1,-1,1,2,NA,1,1,-2,3,-1,-2,1,-1,1,NA,-1,NA,-1,NA,1,NA,-1,2,1,-1,1,NA,-3,-1,NA,3
"Corynebacterium_durum",-1,-1,-1,1,-1,1,3,-1,1,-1,3,1,1,-1,-1,1,3,2,-1,1,1,1,3,-1,-1,2,3,2,1,-1,1,1,-1,3,-1,-1,NA,2
"Neisseria_bacilliformis",-1,1,1,1,1,1,-1,-1,1,-1,-1,NA,-1,-1,-2,-1,1,-1,-1,1,-1,-1,-1,-1,-3,1,-1,-1,-1,2,-1,1,-1,3,1,-2,NA,2
"Kingella_oralis",-1,1,1,3,-1,2,3,1,-1,-3,-1,-1,-1,-1,-1,1,3,3,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,3,-1,NA,-1
"Cardiobacterium_hominis",-1,1,1,1,-1,1,3,-1,1,-1,1,3,1,1,-1,1,3,-1,1,1,1,1,3,-1,1,1,-1,-1,1,1,1,-1,-1,3,3,3,NA,-1
"Fretibacterium_fastidiosum",-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-3,1,3,-1,3,3,-1,1,-3,1,-3,-1,-1,-3,3,1,-1,1,-1,3,1,3,NA,-1
"Streptococcus_peroris",-1,1,-1,-1,3,1,3,-1,-1,1,-1,1,-3,1,2,1,-1,-1,-2,-1,-1,-3,2,-1,3,2,1,-1,-1,1,2,1,-2,-1,-1,-3,NA,1
"Olsenella_profusa",1,3,-1,-2,NA,-1,-1,-1,2,1,2,3,-1,-1,-1,-1,1,3,-1,NA,2,-1,-1,-1,-3,-1,1,1,-1,1,-1,-1,3,1,3,3,NA,-1
"Agrobacterium_tumefaciens",NA,-1,1,-1,-1,NA,-1,NA,-1,-2,NA,1,-1,1,NA,NA,1,NA,NA,NA,NA,-1,-1,NA,-1,NA,NA,NA,NA,-2,NA,-1,NA,NA,-1,-1,NA,1
"Lactobacillus_gasseri",-2,3,-3,-1,-1,-1,-1,-1,-1,1,-1,-3,-1,-1,-1,-1,1,-1,-1,NA,1,-1,1,NA,-1,-2,-2,1,-1,1,-1,-1,-1,1,-1,-3,NA,1
"Prevotella_albensis",NA,NA,-1,-1,-1,-1,NA,NA,-1,2,2,NA,1,NA,NA,NA,NA,NA,1,NA,-1,-1,1,NA,NA,NA,1,NA,NA,2,NA,1,NA,1,-1,1,NA,-1
"Selenomonas_artemidis",-1,-1,-3,-1,-1,1,3,1,1,1,-1,2,1,-1,2,1,3,-3,1,-1,1,1,-3,-1,-1,-1,-3,-1,-1,-1,1,-1,-1,-1,1,-3,NA,1
"Streptococcus_infantis",2,-3,1,-1,-1,-1,-1,1,-1,-1,3,2,1,3,1,1,-1,3,-1,-2,3,-1,-3,NA,1,-1,-1,1,-1,-3,1,1,1,1,2,1,NA,-3
"Prevotella_histicola",-1,1,-3,-1,-1,-1,-1,-1,-1,-1,-1,-3,2,-1,-1,-1,-1,-1,1,-2,-1,-1,3,-1,-1,1,-1,-1,-1,-1,-3,-1,1,-1,3,1,NA,-1
"Aggregatibacter_segnis",-1,-1,-1,3,-1,1,-1,-1,-1,-1,-1,3,-1,1,-1,1,3,-3,-1,3,-1,1,-3,-1,1,-1,-1,1,3,-1,-1,1,3,2,2,3,NA,-2
"Rothia_terrae",NA,1,NA,1,NA,-1,1,NA,1,-1,3,3,1,1,-1,-1,-1,NA,1,NA,-1,1,1,NA,-1,NA,1,NA,1,-1,NA,-1,NA,NA,NA,1,NA,-1
"Streptococcus_suis",NA,1,-2,-1,-1,1,3,NA,-1,-3,-1,-1,1,-1,1,-1,-1,NA,-1,-1,-1,1,1,-1,1,NA,1,NA,1,-1,-3,2,2,-2,1,-3,NA,1
"Achromobacter_xylosoxidans",NA,NA,NA,1,NA,NA,-1,NA,NA,-1,NA,-2,-1,-1,NA,NA,1,NA,NA,NA,NA,-1,-3,NA,-1,NA,NA,NA,NA,-1,NA,-1,NA,NA,1,-1,NA,-1
"Ruminofilibacter_xylanolyticum",NA,-1,NA,-1,NA,-1,-2,NA,1,2,1,-1,-1,-1,-1,NA,1,NA,-1,NA,NA,-1,-3,-1,-1,NA,-1,NA,1,-1,1,3,NA,-1,-3,3,NA,NA
"Finegoldia_magna",NA,-1,1,NA,-1,-3,-3,NA,2,2,NA,NA,-3,NA,-1,NA,-1,NA,1,NA,NA,NA,-1,NA,-1,NA,-1,NA,NA,NA,1,1,1,1,-1,-1,NA,-1
"Prevotella_multiformis",-1,3,-1,2,-1,-1,1,1,-1,1,-1,1,-3,-1,-2,-1,3,1,-1,1,1,-3,-1,NA,-3,-2,-1,-1,1,-1,1,-1,1,-3,1,3,NA,-1
"Neisseria_canis",NA,-1,1,3,NA,1,-3,NA,1,1,3,3,-2,1,1,-1,3,NA,1,NA,2,1,-2,1,-1,-1,1,NA,-1,-1,3,-1,-1,-3,2,-3,NA,1
"Centipeda_periodontii",NA,-1,-3,1,-1,-1,-2,-1,2,-2,1,1,1,1,1,-1,3,2,1,1,-1,-1,-1,-1,-1,-1,-3,-1,-1,1,-1,-1,-1,-3,-1,3,NA,2
"Actinomyces_israelii",NA,-1,-3,1,-1,-1,-1,NA,1,-1,1,1,-1,-2,-3,1,1,NA,-1,-1,1,1,-1,1,-3,NA,-1,NA,3,-3,-1,1,-3,-1,1,-1,NA,1
"Actinomyces_naeslundii",-1,-1,1,1,-1,-3,-1,2,1,-1,1,-1,1,3,-2,-1,-1,3,-1,1,1,-1,-1,-1,1,-1,-1,3,-1,1,1,-1,-1,-1,3,-3,NA,2
"Actinomyces_turicensis",NA,2,-1,NA,-1,-1,-1,NA,-1,2,-1,NA,1,-1,NA,-1,1,NA,-1,NA,1,-1,-1,NA,-1,NA,-2,NA,-1,-1,1,-1,-1,-1,-1,1,NA,1
"Lactobacillus_oris",-1,NA,-3,NA,-1,NA,NA,-1,-1,-1,NA,NA,1,NA,1,NA,-1,NA,-1,NA,NA,NA,NA,NA,-3,-1,NA,-1,-1,-1,-1,-1,-1,NA,-1,-1,NA,1
"Streptococcus_lactarius",NA,3,3,NA,-1,3,3,NA,-1,-1,3,NA,-1,1,3,1,3,NA,1,1,-1,1,-1,NA,-1,NA,NA,NA,-1,-1,1,1,1,1,-1,-1,NA,1
"Capnocytophaga_gingivalis",1,-2,2,1,-1,-1,-1,-1,-1,-2,-1,3,-1,1,1,1,-1,2,1,-1,1,-1,3,1,-1,-1,-2,1,-1,-1,1,-1,-1,1,1,-1,NA,-1
"Prevotella_loescheii",-1,1,-2,2,-1,-1,-1,1,1,3,1,3,-1,3,-3,-1,3,1,-1,1,1,1,-3,-1,-2,1,-3,-1,1,-2,1,-2,1,1,3,3,NA,-1
"Bergeriella_denitrificans",NA,NA,1,1,-1,1,-1,NA,1,-1,NA,-1,-1,-1,1,-1,1,NA,-3,2,NA,1,1,-1,-1,NA,NA,NA,1,2,1,-1,1,-1,2,3,NA,NA
"Paludibacter_propionicigenes",NA,-1,1,NA,-1,-1,-1,NA,1,-1,1,-1,-1,1,NA,1,NA,NA,1,1,1,-1,1,NA,-1,NA,-1,NA,1,1,NA,1,1,-1,-1,1,NA,3
"Veillonella_tobetsuensis",3,NA,1,-1,1,-1,-1,-1,3,1,-1,NA,3,-1,-3,-1,1,-1,-1,-1,2,-1,-1,NA,2,-1,1,2,1,1,1,-1,-1,-1,2,3,NA,-1
"Prevotella_oulorum",1,3,-3,-1,-1,1,3,-3,1,1,2,3,2,1,-3,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,3,-1,3,NA,1
"Sneathia_sanguinegens",NA,-3,1,1,-1,1,-1,NA,-2,1,2,NA,-2,-1,-1,-1,NA,NA,-1,3,1,-1,-1,1,-1,NA,1,NA,-1,-1,-1,3,1,-1,-1,-1,NA,1
"Atopobium_rimae",-2,3,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,-3,-1,3,-3,-3,-1,1,-1,-3,1,-3,-1,-2,1,1,-1,-1,1,-1,-1,3,-2,NA,-1
"Bryobacter_aggregatus",NA,NA,1,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,1,-1,NA,NA,NA,NA,1,NA,1,NA,NA,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA
"Scardovia_inopinata",NA,-1,-2,-1,NA,1,-1,-1,-1,1,3,NA,1,NA,-2,1,1,-1,-3,NA,NA,-1,1,NA,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,NA,-1
"Selenomonas_dianae",NA,1,-1,-1,-1,-1,-1,NA,2,1,1,1,-1,3,-1,-1,3,NA,-1,-1,1,-3,-3,1,-1,NA,1,NA,-1,1,1,-1,1,-1,-1,3,NA,1
"Streptococcus_pseudopneumoniae",2,NA,NA,NA,NA,NA,-1,1,3,1,NA,NA,-1,1,1,NA,-1,-1,-1,NA,NA,1,2,NA,-1,-1,-2,1,1,NA,NA,NA,1,1,-1,-1,NA,-1
"Treponema_maltophilum",NA,-1,-1,1,-1,-1,-1,-1,1,1,1,3,-3,-1,-1,1,-2,-3,1,1,-1,-1,-3,-1,-3,-1,-2,-1,3,-1,-1,1,-3,3,-1,3,NA,-1
